95937500.000000 , 29.261200
96093750.000000 , 28.127945
96250000.000000 , 28.990736
96406250.000000 , 28.497096
96562500.000000 , 30.190829
96718750.000000 , 29.101599
96875000.000000 , 31.663049
97031250.000000 , 41.900301
97187500.000000 , 29.938976
97343750.000000 , 29.814617
97500000.000000 , 28.280615
97656250.000000 , 28.026786
97812500.000000 , 28.346161
97968750.000000 , 28.025799
98125000.000000 , 28.904890
98281250.000000 , 27.226008
98437500.000000 , 27.207167
98593750.000000 , 26.848843
98750000.000000 , 27.317239
98906250.000000 , 28.364973
99062500.000000 , 27.376293
99218750.000000 , 27.676237
99375000.000000 , 27.644046
99531250.000000 , 27.896404
99687500.000000 , 28.894522
99843750.000000 , 26.875907
100000000.000000 , 26.797143
100156250.000000 , 27.436339
100312500.000000 , 28.999493
100468750.000000 , 29.267620
100625000.000000 , 28.630218
100781250.000000 , 30.403600
100937500.000000 , 39.745886
101093750.000000 , 36.703375
101250000.000000 , 30.760956
101406250.000000 , 28.709106
101562500.000000 , 27.538032
101718750.000000 , 27.809024
101875000.000000 , 29.112949
102031250.000000 , 28.199333
102187500.000000 , 27.828082
102343750.000000 , 27.789444
102500000.000000 , 28.045703
102656250.000000 , 29.526409
102812500.000000 , 27.982797
102968750.000000 , 28.156452
103125000.000000 , 27.866967
103281250.000000 , 28.280301
103437500.000000 , 30.506030
103593750.000000 , 28.511290
103750000.000000 , 27.974751
103937500.000000 , 53.906530
104093750.000000 , 63.706172
104250000.000000 , 52.820201
104406250.000000 , 51.483612
104562500.000000 , 54.825234
104718750.000000 , 54.497514
104875000.000000 , 62.129978
105031250.000000 , 57.439117
105187500.000000 , 53.754609
105343750.000000 , 58.386543
105500000.000000 , 55.146441
105656250.000000 , 60.009957
105812500.000000 , 57.942028
105968750.000000 , 55.949149
106125000.000000 , 59.633071
106281250.000000 , 61.278967
106437500.000000 , 66.170672
106593750.000000 , 62.602323
106750000.000000 , 57.254883
106906250.000000 , 60.779707
107062500.000000 , 61.460021
107218750.000000 , 63.554714
107375000.000000 , 64.115642
107531250.000000 , 57.483194
107687500.000000 , 59.616109
107843750.000000 , 65.581459
108000000.000000 , 66.109972
108156250.000000 , 62.631921
108312500.000000 , 59.809189
108468750.000000 , 61.627690
108625000.000000 , 64.906972
108781250.000000 , 64.290887
108937500.000000 , 66.682100
109093750.000000 , 60.147691
109250000.000000 , 61.100275
109406250.000000 , 64.639998
109562500.000000 , 63.296721
109718750.000000 , 65.427633
109875000.000000 , 59.099287
110031250.000000 , 59.814865
110187500.000000 , 68.216323
110343750.000000 , 62.813849
110500000.000000 , 60.253196
110656250.000000 , 59.025213
110812500.000000 , 58.503846
110968750.000000 , 62.494831
111125000.000000 , 60.440516
111281250.000000 , 61.004346
111437500.000000 , 56.309922
111593750.000000 , 55.135901
111750000.000000 , 63.141847
111937500.000000 , 65.657981
112093750.000000 , 66.197990
112250000.000000 , 65.274769
112406250.000000 , 65.777275
112562500.000000 , 65.461768
112718750.000000 , 65.701997
112875000.000000 , 65.065240
113031250.000000 , 64.806862
113187500.000000 , 65.786114
113343750.000000 , 66.145235
113500000.000000 , 66.182078
113656250.000000 , 65.887333
113812500.000000 , 65.668614
113968750.000000 , 66.447364
114125000.000000 , 66.071171
114281250.000000 , 65.251832
114437500.000000 , 64.966117
114593750.000000 , 64.444593
114750000.000000 , 64.733631
114906250.000000 , 65.706010
115062500.000000 , 65.641557
115218750.000000 , 65.099520
115375000.000000 , 65.969083
115531250.000000 , 65.606787
115687500.000000 , 64.915328
115843750.000000 , 65.272342
116000000.000000 , 64.915506
116156250.000000 , 65.391032
116312500.000000 , 65.165106
116468750.000000 , 64.623949
116625000.000000 , 64.930661
116781250.000000 , 64.773471
116937500.000000 , 65.285893
117093750.000000 , 65.581140
117250000.000000 , 64.455160
117406250.000000 , 64.813484
117562500.000000 , 65.734593
117718750.000000 , 65.147983
117875000.000000 , 66.265076
118031250.000000 , 65.877468
118187500.000000 , 64.742592
118343750.000000 , 63.904751
118500000.000000 , 65.613250
118656250.000000 , 64.832347
118812500.000000 , 64.092220
118968750.000000 , 65.418423
119125000.000000 , 65.180983
119281250.000000 , 65.492217
119437500.000000 , 65.134399
119593750.000000 , 65.494154
119750000.000000 , 64.051435
119937500.000000 , 55.622409
120093750.000000 , 55.049536
120250000.000000 , 62.076342
120406250.000000 , 55.090036
120562500.000000 , 62.036405
120718750.000000 , 54.902829
120875000.000000 , 55.751454
121031250.000000 , 62.998676
121187500.000000 , 54.517752
121343750.000000 , 57.040478
121500000.000000 , 54.364662
121656250.000000 , 55.992163
121812500.000000 , 59.620020
121968750.000000 , 55.779502
122125000.000000 , 61.673857
122281250.000000 , 54.487313
122437500.000000 , 55.802250
122593750.000000 , 58.637445
122750000.000000 , 55.796371
122906250.000000 , 61.164821
123062500.000000 , 54.813478
123218750.000000 , 56.254602
123375000.000000 , 58.100990
123531250.000000 , 54.729923
123687500.000000 , 55.668252
