SSID: ama-05922
SSID: Abaha Cun
SSID: Auchentoshan
SSID: ZHonline
SSID: Sunrise_5GHz_5E7DB0
Extended capabilities: HT Information Exchange Supported, BSS Transition, SSID List, 6
SSID: ZHonline
SSID: Sunrise_TV_3C009C
Extended capabilities: HT Information Exchange Supported, BSS Transition, SSID List, 6
SSID: #Cityplan_Free_WiFi
SSID: FRITZ!Box Fon WLAN 7360
SSID: Sunrise_2.4GHz_8C7D90
SSID: UPC Wi-Free
SSID: Sunrise_5GHz_4FC9D0
Extended capabilities: HT Information Exchange Supported, BSS Transition, SSID List, 6
SSID: WLAN-GB
SSID: UPCD86CBFD
SSID: Sunrise 4G WiFi Tower 5GHz
SSID: UPC Wi-Free
SSID: Hotspot MKZ
SSID: UPC Wi-Free
SSID: gnNetwork
SSID: Attila
SSID: Sunrise_2.4GHz_51E2F6
SSID: Sunrise_2.4GHz_4FC9D0
SSID: NeoSoftGuest5L
SSID: Auchentoshan
SSID: \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
SSID: NeoSoftGuest5
SSID: UPC213B26D
SSID: UPC4DC353C
SSID: Attila
SSID: Sunrise_5GHz_8C7D90
Extended capabilities: HT Information Exchange Supported, BSS Transition, SSID List, 6
SSID: Sunrise_TV_8C7D90
Extended capabilities: HT Information Exchange Supported, BSS Transition, SSID List, 6
SSID: Marc Netzwerk
SSID: yxs-12921
SSID: 55
Extended capabilities: HT Information Exchange Supported, BSS Transition, SSID List, 6
SSID: \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
SSID: NeoSoftGuest5
SSID: 
SSID: Sunrise_2.4GHz_A4CFC8
SSID: \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
SSID: Vrenelisgaertli
